,player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
750,35153,MJ Clarke,Right hand Bat,Slow Left arm Orthodox,Not Specifed,Michael John Clarke,Michael John,Not Available
751,8372,HC Brook,Right hand Bat,Right arm Medium,Not Specifed,Harry Cherrington Brook,Harry Cherrington,Not Available
752,11919,SC Ganguly,Left hand Bat,Right arm Medium,Not Specifed,Sourav Chandidas Ganguly,Sourav Chandidas,Not Available
753,4,KM Jadhav,Right hand Bat,Right arm Offbreak,Not Specifed,Kedar Mahadav Jadhav,Kedar Mahadav,Not Available
754,29,KA Pollard,Right hand Bat,Right arm Medium,Not Specifed,Kieron Adrian Pollard,Kieron Adrian,Not Available
755,6713,PBB Rajapaksa,Left hand Bat,Right arm Medium,Not Specifed,Pramod Bhanuka Bandara Rajapaksa,Pramod Bhanuka,Not Available
756,14622,SE Bond,Right hand Bat,Right arm Fast,Not Specifed,Shane Edward Bond,Shane Edward,Not Available
757,2329,JPR Scantlebury-Searles,Right hand Bat,Right arm Fast medium,Not Specifed,Javon Philip Ramon Scantlebury-Searles,Javon Philip,Not Available
758,172,P Negi,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Pawan Negi,Pawan Negi,Not Available
759,12032,DPMD Jayawardene,Right hand Bat,Right arm Medium,Not Specifed,Denagamage Proboth Mahela de Silva Jayawardene,Denagamage Proboth,Not Available
760,604,MG Johnson,Left hand Bat,Left arm Fast,Not Specifed,Mitchell Guy Johnson,Mitchell Guy,Not Available
761,12738,RR Powar,Right hand Bat,Right arm Offbreak,Not Specifed,Ramesh Rajaram Powar,Ramesh Rajaram,Not Available
762,14726,FY Fazal,Left hand Bat,Right arm Medium,Not Specifed,Faiz Yakub Fazal,Faiz Yakub,Not Available
763,11951,M Muralitharan,Right hand Bat,Right arm Offbreak,Not Specifed,Muthiah Muralidaran,Muthiah Muralidaran,Not Available
764,6880,JM Sharma,Right hand Bat, ,Wicketkeeper,Jitesh Mohan Sharma,Jitesh Mohan,Not Available
765,12465,DT Patil,Right hand Bat, ,Wicketkeeper,Devraj Thyagaraj Patil,Devraj Thyagaraj,Not Available
766,11953,JR Hopes,Right hand Bat,Right arm Medium,Not Specifed,James Redfern Hopes,James Redfern,Not Available
767,6885,VG Arora,Right hand Bat,Right arm Fast medium,Not Specifed,Vaibhav Gopal Arora,Vaibhav Gopal,Not Available
768,9225,AJ Hosein,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Akeal Jerome Hosein,Akeal Jerome,Not Available
769,16862,CJ Ferguson,Right hand Bat,Right arm Medium,Not Specifed,Callum James Ferguson,Callum James,Not Available
770,14985,KAJ Roach,Right hand Bat,Right arm Fast medium,Not Specifed,Kemar Andre Jamal Roach,Kemar Andre,Not Available
771,400,EJG Morgan,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,Eoin Joseph Gerard Morgan,Eoin Joseph,Not Available
